,run_id,N,p,k,num_edges,edge_list,num_solutions_m,compiler_success,error_message,compilation_time,time_xag_optimize,time_xag_synthesis,time_parity_decomp,time_linear_resynth,oracle_num_qubits,oracle_depth,oracle_size,oracle_cx_count,oracle_1q_count
0,1,3,0.2,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,0.7740802764892578,0.001422882080078125,1.621246337890625e-05,2.86102294921875e-06,1.6689300537109375e-06,4,4,4,0,4
1,2,3,0.2,2,1,"[0, 0, 1, 0, 0, 0, 1, 0, 0]",1,True,None,0.8533179759979248,0.0014986991882324219,1.8835067749023438e-05,4.5299530029296875e-06,2.86102294921875e-06,5,11,17,4,13
2,3,3,0.2,2,2,"[0, 1, 1, 1, 0, 0, 1, 0, 0]",2,True,None,1.0864474773406982,0.0015721321105957031,1.7881393432617188e-05,5.0067901611328125e-06,6.198883056640625e-06,4,5,7,2,5
3,4,3,0.2,2,2,"[0, 1, 1, 1, 0, 0, 1, 0, 0]",2,True,None,0.6633448600769043,0.0015523433685302734,1.7404556274414062e-05,4.76837158203125e-06,7.152557373046875e-06,4,5,7,2,5
4,5,3,0.2,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.0626726150512695,0.0014908313751220703,1.52587890625e-05,3.0994415283203125e-06,2.1457672119140625e-06,4,4,4,0,4
5,6,3,0.2,2,1,"[0, 0, 0, 0, 0, 1, 0, 1, 0]",1,True,None,1.1055710315704346,0.0015330314636230469,1.9311904907226562e-05,4.5299530029296875e-06,3.0994415283203125e-06,5,12,19,4,15
6,7,3,0.2,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.1614985466003418,0.0008308887481689453,1.5974044799804688e-05,2.6226043701171875e-06,1.9073486328125e-06,4,4,4,0,4
7,8,3,0.2,2,1,"[0, 1, 0, 1, 0, 0, 0, 0, 0]",1,True,None,0.7866144180297852,0.0007991790771484375,1.7642974853515625e-05,4.5299530029296875e-06,3.0994415283203125e-06,5,11,17,4,13
8,9,3,0.2,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,0.9100525379180908,0.0014071464538574219,1.5497207641601562e-05,3.0994415283203125e-06,2.1457672119140625e-06,4,4,4,0,4
9,10,3,0.2,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.094306468963623,0.0015246868133544922,1.5497207641601562e-05,3.0994415283203125e-06,2.1457672119140625e-06,4,4,4,0,4
10,11,3,0.3,2,2,"[0, 0, 1, 0, 0, 1, 1, 1, 0]",2,True,None,0.9483356475830078,0.0015604496002197266,1.9788742065429688e-05,6.198883056640625e-06,7.152557373046875e-06,4,5,7,2,5
11,12,3,0.3,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.2122845649719238,0.0014920234680175781,1.621246337890625e-05,3.0994415283203125e-06,2.1457672119140625e-06,4,4,4,0,4
12,13,3,0.3,2,2,"[0, 1, 1, 1, 0, 0, 1, 0, 0]",2,True,None,0.8236947059631348,0.0018036365509033203,2.1219253540039062e-05,4.76837158203125e-06,7.152557373046875e-06,4,5,7,2,5
13,14,3,0.3,2,1,"[0, 0, 0, 0, 0, 1, 0, 1, 0]",1,True,None,1.068037509918213,0.0015339851379394531,1.7881393432617188e-05,4.5299530029296875e-06,3.0994415283203125e-06,5,12,19,4,15
14,15,3,0.3,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,0.8164076805114746,0.0015034675598144531,1.5974044799804688e-05,2.86102294921875e-06,2.384185791015625e-06,4,4,4,0,4
15,16,3,0.3,2,1,"[0, 1, 0, 1, 0, 0, 0, 0, 0]",1,True,None,1.105619192123413,0.0015549659729003906,1.8835067749023438e-05,4.291534423828125e-06,3.0994415283203125e-06,5,11,17,4,13
16,17,3,0.3,2,1,"[0, 0, 1, 0, 0, 0, 1, 0, 0]",1,True,None,0.6723802089691162,0.001531362533569336,1.811981201171875e-05,4.76837158203125e-06,3.337860107421875e-06,5,11,17,4,13
17,18,3,0.3,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.260866403579712,0.0016438961029052734,2.002716064453125e-05,4.76837158203125e-06,8.344650268554688e-06,4,8,10,5,5
18,19,3,0.3,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.0723445415496826,0.0016338825225830078,1.7881393432617188e-05,3.5762786865234375e-06,1.9073486328125e-06,4,4,4,0,4
19,20,3,0.3,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.1115498542785645,0.0014863014221191406,1.5974044799804688e-05,3.337860107421875e-06,1.9073486328125e-06,4,4,4,0,4
20,21,3,0.4,2,1,"[0, 1, 0, 1, 0, 0, 0, 0, 0]",1,True,None,0.7994399070739746,0.0015490055084228516,1.8835067749023438e-05,5.0067901611328125e-06,3.0994415283203125e-06,5,11,17,4,13
21,22,3,0.4,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.1585161685943604,0.0015780925750732422,1.621246337890625e-05,3.0994415283203125e-06,1.6689300537109375e-06,4,4,4,0,4
22,23,3,0.4,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.0549726486206055,0.0016062259674072266,1.5735626220703125e-05,3.0994415283203125e-06,2.1457672119140625e-06,4,4,4,0,4
23,24,3,0.4,2,1,"[0, 0, 0, 0, 0, 1, 0, 1, 0]",1,True,None,0.8168964385986328,0.0016198158264160156,1.9073486328125e-05,5.245208740234375e-06,3.337860107421875e-06,5,12,19,4,15
24,25,3,0.4,2,2,"[0, 0, 1, 0, 0, 1, 1, 1, 0]",2,True,None,1.0678513050079346,0.0016665458679199219,2.0742416381835938e-05,5.245208740234375e-06,7.152557373046875e-06,4,5,7,2,5
25,26,3,0.4,2,2,"[0, 1, 1, 1, 0, 0, 1, 0, 0]",2,True,None,0.9110682010650635,0.001657247543334961,2.288818359375e-05,5.4836273193359375e-06,7.62939453125e-06,4,5,7,2,5
26,27,3,0.4,2,2,"[0, 1, 0, 1, 0, 1, 0, 1, 0]",2,True,None,1.264662742614746,0.0015995502471923828,2.2649765014648438e-05,5.0067901611328125e-06,1.1682510375976562e-05,4,5,7,2,5
27,28,3,0.4,2,2,"[0, 1, 0, 1, 0, 1, 0, 1, 0]",2,True,None,0.7324092388153076,0.002895832061767578,2.765655517578125e-05,6.9141387939453125e-06,1.1444091796875e-05,4,5,7,2,5
28,29,3,0.4,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.2458903789520264,0.0017366409301757812,2.002716064453125e-05,4.5299530029296875e-06,8.106231689453125e-06,4,8,10,5,5
29,30,3,0.4,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,0.7115623950958252,0.0015976428985595703,1.5497207641601562e-05,3.0994415283203125e-06,2.1457672119140625e-06,4,4,4,0,4
30,31,3,0.5,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.1273391246795654,0.0016531944274902344,1.7404556274414062e-05,4.76837158203125e-06,7.62939453125e-06,4,8,10,5,5
31,32,3,0.5,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,0.8733835220336914,0.0016999244689941406,1.9550323486328125e-05,4.76837158203125e-06,8.58306884765625e-06,4,8,10,5,5
32,33,3,0.5,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.3337092399597168,0.0015494823455810547,1.5735626220703125e-05,3.0994415283203125e-06,2.1457672119140625e-06,4,4,4,0,4
33,34,3,0.5,2,1,"[0, 0, 1, 0, 0, 0, 1, 0, 0]",1,True,None,0.7688741683959961,0.0017290115356445312,2.9802322387695312e-05,5.0067901611328125e-06,2.86102294921875e-06,5,11,17,4,13
34,35,3,0.5,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.1824815273284912,0.0017189979553222656,1.9550323486328125e-05,4.5299530029296875e-06,8.344650268554688e-06,4,8,10,5,5
35,36,3,0.5,2,1,"[0, 0, 0, 0, 0, 1, 0, 1, 0]",1,True,None,1.038593053817749,0.0017054080963134766,2.2411346435546875e-05,5.4836273193359375e-06,3.337860107421875e-06,5,12,19,4,15
36,37,3,0.5,2,2,"[0, 1, 0, 1, 0, 1, 0, 1, 0]",2,True,None,1.0841560363769531,0.0017337799072265625,2.5033950805664062e-05,5.7220458984375e-06,7.867813110351562e-06,4,5,7,2,5
37,38,3,0.5,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.0815365314483643,0.0017290115356445312,2.0265579223632812e-05,5.0067901611328125e-06,9.298324584960938e-06,4,8,10,5,5
38,39,3,0.5,2,2,"[0, 1, 0, 1, 0, 1, 0, 1, 0]",2,True,None,1.1773960590362549,0.0014972686767578125,1.8358230590820312e-05,5.0067901611328125e-06,7.152557373046875e-06,4,5,7,2,5
39,40,3,0.5,2,1,"[0, 1, 0, 1, 0, 0, 0, 0, 0]",1,True,None,1.303297519683838,0.0015327930450439453,1.9788742065429688e-05,4.5299530029296875e-06,3.0994415283203125e-06,5,11,17,4,13
40,41,3,0.6,2,1,"[0, 1, 0, 1, 0, 0, 0, 0, 0]",1,True,None,0.745520830154419,0.0015285015106201172,1.9788742065429688e-05,5.0067901611328125e-06,3.0994415283203125e-06,5,11,17,4,13
41,42,3,0.6,2,2,"[0, 1, 1, 1, 0, 0, 1, 0, 0]",2,True,None,1.117469072341919,0.0014977455139160156,1.71661376953125e-05,4.76837158203125e-06,6.9141387939453125e-06,4,5,7,2,5
42,43,3,0.6,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,0.747943639755249,0.0015952587127685547,2.002716064453125e-05,4.5299530029296875e-06,8.344650268554688e-06,4,8,10,5,5
43,44,3,0.6,2,1,"[0, 0, 0, 0, 0, 1, 0, 1, 0]",1,True,None,1.118415355682373,0.0015635490417480469,1.9311904907226562e-05,4.76837158203125e-06,3.0994415283203125e-06,5,12,19,4,15
44,45,3,0.6,2,2,"[0, 1, 1, 1, 0, 0, 1, 0, 0]",2,True,None,1.2078633308410645,0.001542806625366211,1.811981201171875e-05,5.0067901611328125e-06,6.67572021484375e-06,4,5,7,2,5
45,46,3,0.6,2,2,"[0, 1, 1, 1, 0, 0, 1, 0, 0]",2,True,None,0.9489195346832275,0.0017704963684082031,2.193450927734375e-05,5.4836273193359375e-06,9.059906005859375e-06,4,5,7,2,5
46,47,3,0.6,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.3105342388153076,0.0015587806701660156,1.8596649169921875e-05,5.245208740234375e-06,8.344650268554688e-06,4,8,10,5,5
47,48,3,0.6,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.085545539855957,0.0014798641204833984,1.5020370483398438e-05,3.0994415283203125e-06,1.9073486328125e-06,4,4,4,0,4
48,49,3,0.6,2,2,"[0, 1, 0, 1, 0, 1, 0, 1, 0]",2,True,None,0.9658992290496826,0.0015950202941894531,1.71661376953125e-05,5.245208740234375e-06,6.4373016357421875e-06,4,5,7,2,5
49,50,3,0.6,2,1,"[0, 0, 1, 0, 0, 0, 1, 0, 0]",1,True,None,0.714838981628418,0.0015425682067871094,2.1696090698242188e-05,5.0067901611328125e-06,2.86102294921875e-06,5,11,17,4,13
50,51,3,0.7,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.1005229949951172,0.0015659332275390625,1.8358230590820312e-05,4.76837158203125e-06,8.58306884765625e-06,4,8,10,5,5
51,52,3,0.7,2,1,"[0, 0, 1, 0, 0, 0, 1, 0, 0]",1,True,None,1.275416374206543,0.0016252994537353516,2.1219253540039062e-05,5.245208740234375e-06,3.5762786865234375e-06,5,11,17,4,13
52,53,3,0.7,2,2,"[0, 0, 1, 0, 0, 1, 1, 1, 0]",2,True,None,1.2213215827941895,0.0016143321990966797,1.9073486328125e-05,4.5299530029296875e-06,6.9141387939453125e-06,4,5,7,2,5
