,run_id,N,p,k,num_edges,edge_list,num_solutions_m,compiler_success,error_message,compilation_time,time_xag_optimize,time_xag_synthesis,time_parity_decomp,time_linear_resynth,oracle_num_qubits,oracle_depth,oracle_size,oracle_cx_count,oracle_1q_count
0,1,3,0.2,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,0.5349953174591064,0.0010082721710205078,1.52587890625e-05,2.86102294921875e-06,2.384185791015625e-06,4,4,4,0,4
1,2,3,0.2,2,1,"[0, 0, 1, 0, 0, 0, 1, 0, 0]",1,True,None,2.458677291870117,0.0009071826934814453,2.4080276489257812e-05,5.0067901611328125e-06,3.5762786865234375e-06,5,11,17,4,13
2,3,3,0.2,2,2,"[0, 1, 1, 1, 0, 0, 1, 0, 0]",2,True,None,0.8765203952789307,0.0004591941833496094,1.9788742065429688e-05,5.245208740234375e-06,9.775161743164062e-06,4,5,7,2,5
3,4,3,0.2,2,2,"[0, 1, 1, 1, 0, 0, 1, 0, 0]",2,True,None,1.2691380977630615,0.00046944618225097656,2.09808349609375e-05,5.4836273193359375e-06,8.344650268554688e-06,4,5,7,2,5
4,5,3,0.2,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.0386896133422852,0.0004138946533203125,1.5497207641601562e-05,3.0994415283203125e-06,2.384185791015625e-06,4,4,4,0,4
5,6,3,0.2,2,1,"[0, 0, 0, 0, 0, 1, 0, 1, 0]",1,True,None,0.7449016571044922,0.000446319580078125,1.9788742065429688e-05,5.0067901611328125e-06,4.291534423828125e-06,5,12,19,4,15
6,7,3,0.2,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.173656702041626,0.00037670135498046875,1.52587890625e-05,2.86102294921875e-06,2.384185791015625e-06,4,4,4,0,4
7,8,3,0.2,2,1,"[0, 1, 0, 1, 0, 0, 0, 0, 0]",1,True,None,0.8880901336669922,0.0004146099090576172,1.9788742065429688e-05,4.5299530029296875e-06,3.5762786865234375e-06,5,11,17,4,13
8,9,3,0.2,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,0.6601901054382324,0.0003707408905029297,1.4781951904296875e-05,3.0994415283203125e-06,2.6226043701171875e-06,4,4,4,0,4
9,10,3,0.2,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.367436408996582,0.00040435791015625,1.4781951904296875e-05,3.337860107421875e-06,2.384185791015625e-06,4,4,4,0,4
10,11,3,0.3,2,2,"[0, 0, 1, 0, 0, 1, 1, 1, 0]",2,True,None,1.0122690200805664,0.0004413127899169922,1.811981201171875e-05,5.0067901611328125e-06,8.344650268554688e-06,4,5,7,2,5
11,12,3,0.3,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.1645076274871826,0.0003917217254638672,1.52587890625e-05,3.337860107421875e-06,2.86102294921875e-06,4,4,4,0,4
12,13,3,0.3,2,2,"[0, 1, 1, 1, 0, 0, 1, 0, 0]",2,True,None,0.8043859004974365,0.00043129920959472656,1.6927719116210938e-05,5.245208740234375e-06,8.106231689453125e-06,4,5,7,2,5
13,14,3,0.3,2,1,"[0, 0, 0, 0, 0, 1, 0, 1, 0]",1,True,None,1.051870584487915,0.0004343986511230469,2.6226043701171875e-05,5.0067901611328125e-06,3.0994415283203125e-06,5,12,19,4,15
14,15,3,0.3,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,0.8959872722625732,0.00036597251892089844,1.5497207641601562e-05,2.6226043701171875e-06,1.9073486328125e-06,4,4,4,0,4
15,16,3,0.3,2,1,"[0, 1, 0, 1, 0, 0, 0, 0, 0]",1,True,None,0.889711856842041,0.0004241466522216797,1.8358230590820312e-05,4.291534423828125e-06,3.0994415283203125e-06,5,11,17,4,13
16,17,3,0.3,2,1,"[0, 0, 1, 0, 0, 0, 1, 0, 0]",1,True,None,0.6939046382904053,0.00039458274841308594,1.8596649169921875e-05,4.5299530029296875e-06,3.337860107421875e-06,5,11,17,4,13
17,18,3,0.3,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.0266704559326172,0.0004410743713378906,1.8835067749023438e-05,4.76837158203125e-06,8.58306884765625e-06,4,8,10,5,5
18,19,3,0.3,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.2100093364715576,0.0003871917724609375,1.6689300537109375e-05,3.5762786865234375e-06,2.6226043701171875e-06,4,4,4,0,4
19,20,3,0.3,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,0.7743685245513916,0.0003781318664550781,1.4781951904296875e-05,3.0994415283203125e-06,2.384185791015625e-06,4,4,4,0,4
20,21,3,0.4,2,1,"[0, 1, 0, 1, 0, 0, 0, 0, 0]",1,True,None,1.0115914344787598,0.0004210472106933594,1.8596649169921875e-05,5.245208740234375e-06,3.0994415283203125e-06,5,11,17,4,13
21,22,3,0.4,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.118056058883667,0.0009262561798095703,2.9325485229492188e-05,6.4373016357421875e-06,4.0531158447265625e-06,4,4,4,0,4
22,23,3,0.4,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.0497887134552002,0.00038743019104003906,1.5497207641601562e-05,2.86102294921875e-06,1.9073486328125e-06,4,4,4,0,4
23,24,3,0.4,2,1,"[0, 0, 0, 0, 0, 1, 0, 1, 0]",1,True,None,0.7013118267059326,0.0004172325134277344,1.71661376953125e-05,4.76837158203125e-06,3.337860107421875e-06,5,12,19,4,15
24,25,3,0.4,2,2,"[0, 0, 1, 0, 0, 1, 1, 1, 0]",2,True,None,1.0308496952056885,0.0004107952117919922,1.8835067749023438e-05,5.245208740234375e-06,6.9141387939453125e-06,4,5,7,2,5
25,26,3,0.4,2,2,"[0, 1, 1, 1, 0, 0, 1, 0, 0]",2,True,None,1.1548795700073242,0.0007867813110351562,3.1948089599609375e-05,8.58306884765625e-06,1.2874603271484375e-05,4,5,7,2,5
